Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt,SYSLoad,RegCP
1/1/2012,1,10711.0,11929,35.12,35.22,0.00,-0.10,56.14,55.78,0.00,0.36,35,33,12153,7.51
1/1/2012,2,10276.0,11297,33.38,33.39,0.00,-0.01,39.28,39.01,0.00,0.27,35,33,11493,6.44
1/1/2012,3,9868.0,10815,30.26,30.30,0.00,-0.04,38.62,38.29,0.00,0.33,36,33,11003,6.00
1/1/2012,4,9771.0,10571,28.88,28.88,0.00,0.00,34.06,33.77,0.00,0.29,36,33,10756,6.00
1/1/2012,5,9884.0,10538,20.23,20.21,0.00,0.02,22.34,22.14,0.00,0.20,36,33,10717,5.17
1/1/2012,6,10010.0,10733,20.26,20.24,0.00,0.02,37.40,37.08,0.00,0.32,35,32,10907,5.00
1/1/2012,7,10328.0,11128,30.72,30.70,0.00,0.02,40.24,39.92,0.00,0.32,36,33,11313,6.60
1/1/2012,8,10715.0,11469,34.16,34.33,0.00,-0.17,25.89,25.71,0.00,0.18,34,32,11679,7.75
1/1/2012,9,11651.0,12078,37.40,37.57,0.00,-0.17,35.59,35.36,0.00,0.23,35,33,12303,7.29
1/1/2012,10,13111.0,12660,38.62,38.45,0.00,0.17,51.10,50.77,0.00,0.33,39,35,12912,6.67
1/1/2012,11,13140.0,13025,41.18,41.22,0.00,-0.04,38.10,37.88,0.00,0.22,42,37,13279,6.17
1/1/2012,12,13280.0,13172,42.04,42.04,0.00,0.00,32.65,32.44,0.00,0.21,45,38,13416,6.00
1/1/2012,13,13125.0,13242,40.23,40.29,0.00,-0.06,33.47,33.26,0.00,0.21,47,38,13481,6.00
1/1/2012,14,12935.0,13121,37.69,37.76,0.00,-0.07,23.23,23.10,0.00,0.13,48,38,13360,6.37
1/1/2012,15,12727.0,13001,36.39,36.52,0.00,-0.13,21.59,21.48,0.00,0.11,50,36,13227,6.75
1/1/2012,16,12817.0,13090,38.50,38.63,0.00,-0.13,25.14,25.04,0.00,0.10,49,37,13305,6.50
1/1/2012,17,14128.0,14378,49.36,49.78,0.00,-0.42,41.68,41.49,0.00,0.19,47,36,14600,6.08
1/1/2012,18,15044.0,15582,65.56,66.82,-0.70,-0.56,49.66,49.49,0.00,0.17,46,37,15830,7.04
1/1/2012,19,14689.0,15477,56.59,57.92,-0.76,-0.57,54.45,54.23,0.00,0.22,45,39,15738,7.25
